질문,답변
주걱턱 교정 마무리단계 질문입니다,안녕하세요. 메디이즈입니다.  비대칭이 약간 있는데 교합이 잘 맞춰진 상태고 주걱턱도 많이 완화돼서 마무리하자고 하시는데 왼쪽 얼굴은 딱 좋은데 오른쪽 얼굴 턱이 조금 아직 튀어나온 거 같은데 교합이 맞춰진 상태면 오른쪽 턱을 더 넣을 방법은 없는건가요? 아니면 아직 교정기를 떼지 않았는데 진료때 말씀드리면 어떤 방법으로든 시도해보긴 하시나요?  설명해주신 내용 만으로는 정확한 판단이 어렵지만  말씀해주신 내용은 턱 자체 모양에 의한 것으로보여집니다.  이 경우는 교정치료로 해결 할 수는 없는 것이구요  씹는 근육 때문이라면 보톡스 치료가 효과가 있을 수 있습니다.
엄지손가락 통증,안녕하세요. 메디이즈입니다. 동그라미 치신 부분은 엄지손가락의 관절이 위치하는 부분이라 보입니다. 손바닥뼈와 손가락뼈가 만나는 부위이고 엑스레이에서 뼈의 이상이 보이지는 않았으니 아마 이 부분을 유지하는 인대에 손상이 있었을 것이라 예상됩니다. 손의 사용을 제한하며 24주 정도 기다려볼만할텐데 이미 4주가 지난 상황이니 통증이 지속되는 상태에 대해 추가적인 진료를 고민해보시는 것이 좋겠습니다. 정형외과를 다시 방문해보시길 권해드립니다.
생리불순 임신확인혈액검사,안녕하세요. 메디이즈입니다.  질외사정으로 관계한 후 25일 이내에 임신 확인 혈액검사를 받으면 결과가 정확합니다. 생리불순이더라도 혈액검사를 통해 임신이 확인될 수 있습니다. 다만 생리불순이라면 초음파 검사를 통해 임신 여부를 확인하기 어려울 수 있습니다. 초음파 검사는 임신 6주 이후에 정확한 결과를 확인할 수 있습니다.  따라서 질외사정으로 관계한 후 25일이 지났고 임신 여부를 확인하고 싶다면 혈액검사를 받으시기를 권장합니다.
치근단절제술 이후 치아 흔들림 개선 가능성,안녕하세요. 메디이즈입니다.  치과 치료는 특성상 아무래도 임상증상 즉 환자분이 불편함을 느끼는 정도 가 치료에 중요할 수 밖에 없습니다.  흔들리것 자체는 6 1년이 지나도 흔들리것은 개선이 쉽지 않을 가능성이 높습니다. 당장 아프거나 하신게 아니면  기다려 보신 후 생각해보십시요.
생리 끝나고 콘돔 찢어짐 임신 가능성 있을까요 ??,안녕하세요. 메디이즈입니다. 이런 경우 정확한 임신 가능성은 추정하기 어렵지만 질외 사정을 하더라도 쿠퍼액에 활동성 정자가 존재하므로 연구에 따르면 임신 가능성을 20 내외로 보고하고 있습니다. 답변이 도움이 되었기를 바랍니다.
마약 테러에 노출되어 죽으면 어떡하죠?,안녕하세요. 메디이즈입니다. 펜타닐과 같은 강력한 합성 오피오이드 마약에 비의도적으로 노출될 경우 매우 위험할 수 있습니다. 그러나 일반적인 상황에서 공기 중 가루 형태로 전파되어 중독되는 일은 거의 없습니다. 펜타닐은 피부나 눈 코 등의 점막을 통해 흡수될 수 있으므로 우발적 접촉 시 주의가 필요합니다. 그러나 공기 중 미량의 가루를 실수로 흡입했다고 해서 바로 중독 증상이 나타나지는 않습니다.
후라시닐정 부작용 항문 소양증,안녕하세요. 메디이즈입니다. 후시닐정의 이상반응 중 피부발진이나 가려움증 생식기의 균주 변화와 같은 문제가 보고된 바있습니다. 항문에만 나타나는 반응이라 피부에 나타난 부작용이라고 해석하기는 어려울 것 같지만 같은 약을 복용할 때마다 같은 불편감을 느끼신다면 약물에 의한 이상반응을 추정해볼만합니다. 약을 처방받으신 병원에 한 번 더 문의해보시는 것이 좋겠고 약 중단이나 교체 등에 대해서도 고민해보실만한 상태로 보입니다.
콘돔 임신,안녕하세요. 메디이즈입니다. 29일 자나고 임태기 해서 임신이 아니면 걱정은 안하셔도 괜찮을 듯 한데 생리가 불규칙하면 정확한 예측은 어렵습니다.
소화불량 인데   자꾸 식욕이 땡기는 이유는 무엇일까요,안녕하세요. 메디이즈입니다. 너무 힘드시겠네요. 그래도 식욕이 있으시다는것은 없는것보다는 좋은 것 같습니다. 소화 잘되는 것을 찾아서 소량씩 드셔보셔요. 밀가루 우유 커피 이런것은 소화가 잘안될수 있어요
추가 질문 드립니다,안녕하세요. 메디이즈입니다. 타박상이 심하면 근육손상으로 근육기능의 약화가 나타날 수 있습니다 1주일 지나서 좋아지면 괜찮다고 생각하셔도 됩니다
림프종인가요?,안녕하세요. 메디이즈입니다. 림프종의 증상과 진단 방법은 다음과 같습니다.  증상 림프절의 비대 림프절이 커져서 만져지거나 통증이 동반될 수 있습니다. 발열 림프종의 종류에 따라 발열이 동반될 수 있습니다. 체중 감소 식욕이 감소하거나 체중이 감소할 수 있습니다. 피부 발진 피부에 발진이 생길 수 있습니다. 야간 발한 밤에 땀이 많이 나는 증상이 나타날 수 있습니다. 진단 림프종의 진단은 종양이 발생한 부위의 조직검사를 통해 이루어집니다. 일반적으로 림프종은 생검을 통해 조직을 채취하여 형태학적 면역조직학적 분자유전학적 검사를 실시합니다. 림프종의 세부 유형을 분류하기 위해 혈액검사 방사선검사 초음파 및 CT MRI 등의 영상진단도 사용됩니다.  아닌것 같은데 진료는 받아보셔요
Itp혈소판감소증과 리툭시맙 약물 내성,안녕하세요. 메디이즈입니다.  ITP 치료에서 리툭시맙에 효과가 있었다면.. 재치료시에도 비슷한 효과가 나타날 것입니다. 리툭시맙의 내성은 드물기 때문에 크게 걱정은 안하셔도 될거 같네요.  자세한것은 혈액종양내과 담당의사와 상의해보는게 좋겠습니다.
건강한 자신에게 맞는 소식방법,안녕하세요. 메디이즈입니다.  밀가루를 피하시는건 잘하셨고 기름진 음식도 되도록 피하시는게 좋겠습니다. 대식을 하다 소식으로 바꾸려면 하루에 여러번 식사횟수를 늘리는게 좋겠습니다. 섬유질이 많은 음식을 찾아서 드시는게 좋겠어요. 유산균도 복용하고 있는데 추가로 프리바이오틱스유산균먹이도 드시는걸 추천드립니다.  자세한것은 소화기내과 전문의와 상담받으시기 바랍니다.
,안녕하세요. 메디이즈입니다.  뇌압상승으로 인해 두통이나 실신을 유발할 수 있습니다. 말초신경장애가 있는 것으로 보아 신경전도검사나 신경학적 평가가 필요합니다. 구음장애 같은 경우도 신경학적 문제와 많이 연관이 있어보입니다.  빨리 신경과 진료를 받으시기 바랍니다.
ITP 리툭시맙과 약물 내성,안녕하세요. 메디이즈입니다.  리툭시맙 재치료시에 대부분은 전과 같은 유사한 반응을 보이는 경우가 많고 소수에서 내성이 발생한다고 보고된다고 되어있습니다.  대부분은 리툭시맙 재치료시에도 처음과 같은 효과가 있다고 보시면 되겠습니다.  혈액종양내과 전문의는 아니여서.. 직접 담당의사와 상의해보는게 좋겠습니다.
콘돔 임신,안녕하세요. 메디이즈입니다. 29일 자나고 임태기 해서 임신이 아니면 걱정은 안하셔도 괜찮을 듯 한데 생리가 불규칙하면 정확한 예측은 어렵습니다.
과민성 대장 증후군 일까요?,안녕하세요. 메디이즈입니다. 상기 증상이 반복되었다면 과민성 대장 증후군 가능성이 가장 높습니다. 과민성 대장 증후군은 다른 질환이 원인을 아님을 감별한 후 진단이 가능하므로 소화기내과 내원하여 진료를 보는 것이 필요합니다. 답변이 도움이 되었기를 바랍니다.
,안녕하세요. 메디이즈입니다. 부정맥 가능성이 높기 때문에 홀터 검사를 제외하고 정확한 진단을 하는 것은 매우 어렵습니다. 답변이 도움이 되었기를 바랍니다.
불안해요,안녕하세요. 메디이즈입니다. 이런 경우 정확한 임신 가능성은 추정하기 어렵지만 질외 사정을 하더라도 쿠퍼액에 활동성 정자가 존재하므로 연구에 따르면 임신 가능성을 20 내외로 보고하고 있습니다. 답변이 도움이 되었기를 바랍니다.
레보플록사신 독시사이클린 같이 복용해도 될까요?,안녕하세요. 메디이즈입니다. 상기약은 서로 성분이 중복되거나 상호 작용이 없어 함께 복용해도 되겠습니다. 필요하다면 같이 복용하셔도 되겠습니다. 답변이 도움이 되었기를 바랍니다.
독시사이클린레보플록사신 같이 복용해도 될까요?,안녕하세요. 메디이즈입니다. 상기약은 서로 성분이 중복되거나 상호 작용이 없어 함께 복용해도 되겠습니다. 필요하다면 같이 복용하셔도 되겠습니다. 답변이 도움이 되었기를 바랍니다.
수두 예방 주사 후 바로 결핵 검사,안녕하세요. 메디이즈입니다. 수두 접종당일에 결핵검사하는 것은 큰 문제는 없을것 같긴 한데 검색해보니 주사 맞고 4주이내에 검사하지 않는 것이 좋다고 합니다
여기저기 염증이 생겼는데 어느과를 가야할지 모르겠습니다,안녕하세요. 메디이즈입니다. 일단 이비인후과 가십시요 코와 눈이 연결되어서 알러지 증상 후 생긴 경우도 많습니다. 먼저 가서 진료 후 다른 과 추천받는게 추천합니다.
왼쪽 엉덩이 찌릿,안녕하세요. 메디이즈입니다.  다리가 불편하시군요. 해당 증상은 허리디스크 질환으로 의심됩니다. 가까운 정형외과를 방문하시기 바랍니다. 감사합니다.
자궁적출 여부 및 치료 방법 문의,안녕하세요. 메디이즈입니다. 수술하시는 선생님에 따라 선호하는 방법이 다른 것 같습니다. 자궁이 커서 무게가 있는 경우엔 2번 수술이 선호됩니다. 1번 수술의 경우 메쉬를 걸어줄 인대가 충분하다는 장점이 있습니다. 수술자 환자분 상태에 따라 수술 방법은 결정되니 진료 받으신 선생님과 충분한 상의를 통해 결정하시는 것이 좋을 듯합니다. 감사합니다.
비중격 만곡증 질문 있습니다.,안녕하세요. 메디이즈입니다. 아닙니다. 안경때문에 이런 경우는 거의 없습니다. 오히려 이전에 기억이 안 나겠지만 주먹이나 공으로 코를 다친 후 생긴 비중격만곡증은 흔합니다.
생리 끝나고 콘돔 찢어짐 임신 가능성 있을까요 ??,안녕하세요. 메디이즈입니다. 이런 경우 정확한 임신 가능성은 추정하기 어렵지만 질외 사정을 하더라도 쿠퍼액에 활동성 정자가 존재하므로 연구에 따르면 임신 가능성을 20 내외로 보고하고 있습니다. 답변이 도움이 되었기를 바랍니다.
왼쪽 엉덩이 찌릿,안녕하세요. 메디이즈입니다.  다리가 불편하시군요. 해당 증상은 허리디스크 질환으로 의심됩니다. 가까운 정형외과를 방문하시기 바랍니다. 감사합니다.
턱 켈로이드,안녕하세요. 메디이즈입니다. 비후성 반흔과 켈로이드 반흔은 사실상 구분이 어렵고 치료가 동일하므로 구분이 의미가 없습니다. 따라서 반흔이 사라지지 않는다면 피부과에서 조치가 필요합니다.
뇌이상일까요??,안녕하세요. 메디이즈입니다. 차가운 음식을 먹으면 일시적으로 혈관 수축이 생기면서 상기 증상이 발생할 수 있습니다. 뇌이상 가능성은 매우 낮습니다.
아침에 허리통증,안녕하세요. 메디이즈입니다.  근육의 경직으로 인한 증상으로 보입니다. 특정 질환과 연관해서는 강직성척추염이나 섬유근통의 가능성을 고려해야 하므로 류마티스 내과 전문의의 진료를 받아보는 것이 좋을 것 같습니다.
주방세제를 실수로 먹었습니다,안녕하세요. 메디이즈입니다.  크게 문제가 될 가능성은 적습니다. 딱히 불편한 점이 없다면 경과관찰하시면 됩니다. 너무 걱정할 필요 없을듯합니다
단순치루수술후,안녕하세요. 메디이즈입니다. 수술 부위 바로 옆 부분은 일시적으로 부을 수 있습니다. 시간 지나면서 상처가 아물면 점차 가라앉을 것이므로 크게 걱정하지 않으셔도 되겠습니다. 일시적으로 소량의 출혈은 있을 수 있으나 양이 많으면 수술 받으셨던 병원으로 문의 하시기 바랍니다. 감사합니다.
,안녕하세요. 메디이즈입니다.  요약 1. 대장암보다는 위장염이나 2. 감염 후에 생긴 과민성대장증후군에 준해 치료를 해야 할겁니다. 3. 전문약 복용하면서 식이 조절하면서 치료 경과롤 봐보세요 4. 대장암은 아래와 같은 증상이 생깁니다.  대장암의 주된 증상으로는  배변습관 변화갑자기 변을 보기 힘들어지거나변 보는 횟수가 변하는 등 설사 변비 또는 배변 후 후중기 혈변 점액변 예전보다 가늘어진 변 복부불편감복통 복부팽만 체중 근력의감소 피로감 식욕부진 소화불량 오심과 구토 복부 종물 등이 있습니다.  건승하세요
부모님이 녹내장인데 영양제먹어도되나요,안녕하세요. 메디이즈입니다. 루테인 성분은 황반변성에는 도움이 되지만 녹내장에는 큰 도움이 되지 않습니다. 담당의와 상의 후 뵥용하는 것이 좋겠습니다.
사마귀 출혈,안녕하세요. 메디이즈입니다. 상기 병변이 이전에 사마귀가 맞다면 피부과에서 완전히 제거하는 것을 권합니다. 다른 부위로 감염이 될 수 있기 떄문입니다.
사마귀 출혈,안녕하세요. 메디이즈입니다. 상기 병변이 이전에 사마귀가 맞다면 피부과에서 완전히 제거하는 것을 권합니다. 다른 부위로 감염이 될 수 있기 떄문입니다.
두번의 위내시경동안 용종을 놓칠 수 있나요?,안녕하세요. 메디이즈입니다. 작은 양성 용종은 발견이 되지 않았을 수도 있습니다. 위저선 용종이 육안상 명확하다면 조직검사를 하지 않는 경우도 있습니다.
파상풍 질문,안녕하세요. 메디이즈입니다. 감염의 가능성은 높지 않지만 만약 걱정이 되신다면 파상풍 예방 접종을 권해드리며 파상풍 예방 접종은 10년 간격으로 접종을 권고하고 있어 접종한지 10년 이후라면 접종하면 되곘습니다. 답변이 도움이 되었기를 바랍니다.
곤지름일까요?,안녕하세요. 메디이즈입니다.  곤지름의 가능성은 낮습니다.  크게 걱정하지 마시고 피부과 진료를 받도록 하십시오.  링크된 동영상에서 추가 설명 드리겠습니다. httpswww.youtube.comwatch?v9Y8b6NwcbY
남자인데 음모 왼쪽부분이 가렵습니다.,안녕하세요. 메디이즈입니다.  크게 걱정하지 마시고 우선 피부과 진료를 받도록 하십시오.  링크된 동영상에서 추가 설명 드리겠습니다. httpswww.youtube.comwatch?v9Y8b6NwcbY
매독,안녕하세요. 메디이즈입니다.  말씀만으로는 정확한 답변을 드리기 어려우나  보통은 직접 접촉에 의해서 감염이 됩니다 하지만 본인도모르게 접촉이 되었을수도 있기 때문에 증상만으로진단은 어렵습니다 검사를 통해서 확인하시는 것이 최선입니다  답변이 되었는지 모르겠네요 더 궁금하신 것이 있으시면 질문주세요. 성심성의껏 답변드리겠습니다 감사합니다.
로제듀오 아스피린 비타민 K,안녕하세요. 메디이즈입니다.  받으신 전문약은 고지혈약 복합제 그리고 저용량 아스피린 입니다  비타민 D K2 그리고 마그네슘 같이 복용 가능합니다 같이 복용하지는 마시고 전문약은 아침에 영양제는 점심에 드시면 더 안전하겠습니다
미오 이노시톨분말형을 선물 받아서 한달 넘게 복용 중인데요,안녕하세요. 메디이즈입니다.  이톨이 호르몬 관련 성분이기에 체중증가에도 영향이 있을 수 있고 갑상선에도 영향을 줄 수 있습니다  뿐만 아니라 여드름 양이 많아지거나 생리가 늦춰지는 영향도 있습니다  본인에게 안 맞다는 판단이 들었다면 복용을 중단하는 것이 맞습니다
영양제 복용법에 관해서 질문 드립니다,안녕하세요. 메디이즈입니다.  음 일단 종류가 너무나 다양합니다 그리고 NOW 제품이 단일 제제로 많이 나오기는 하는데 서양사람들 기준이라서 함량이 높습니다 저는 직구를 추천드리지 않는 편입니다  그 이유로는 처음에는 효과가 있는듯 느껴지겠지만 장기적으로 봤을때는 간과 신장에 무리가 옵니다  국내 제품으로 드셨으면 합니다
센시리베 복용 후 디어미순,안녕하세요. 메디이즈입니다.  센베 보다 디미 순이 조금더 함량이 낮기는 합니다 그러나 기대하는 피임의 효과는 거의 같기에 휴약기간 없이 쭉 복용하여도 괜찮습니다  간접과 직접 흡연 피해주시고 건강하세요
단순치루수술후,안녕하세요. 메디이즈입니다. 수술 부위 바로 옆 부분은 일시적으로 부을 수 있습니다. 시간 지나면서 상처가 아물면 점차 가라앉을 것이므로 크게 걱정하지 않으셔도 되겠습니다. 일시적으로 소량의 출혈은 있을 수 있으나 양이 많으면 수술 받으셨던 병원으로 문의 하시기 바랍니다. 감사합니다.
피부의 붉은 반점과 가려움,안녕하세요. 메디이즈입니다.  사진만으로 진단할 수는 없지만 두드러기 증상으로 생각됩니다. 두드러기는 피부과에서 진료를 하고 있습니다. 다만 두드러기의 경우 자주 재발 할 수 있으며 경우에 따라서는 몇달간 지속되기도 합니다. 피부과에서 치료 후 호전이 있다면 지속적으로 치료 받아보시는 것이 좋을 것 같습니다.  감사합니다.
갑작스러운 두드러기,안녕하세요. 메디이즈입니다.  두드러기 증상은 누구나 생길 수 있으며 원인은 음식 옷 먼지 등등 매우 다양하고 특정 원인을 찾지 못하는 경우도 있습니다. 두드러기는 자연적으로 시간이 지나면 가라앉지만 경우에 따라서는 며칠간 반복적으로 생길 수 있고 드물게는 3개월 이상 만성으로 진행하기도 합니다. 증상이 심한 혹은 일상 생활에 지장이 있는 경우 항히스타민을 복용하면서 경과를 지켜볼 수 있습니다.  감사합니다.
두피에도 굳은 살이 생길 수 있나요?,안녕하세요. 메디이즈입니다.  장시간 압박이나 자극을 받는 부위는 피부가 두꺼워질 수 있습니다. 두피에 굳은 살이 생기는 경우는 매우 드문 현상입니다. 굳은 살은 한 번 생기면 잘 사라지지 않지만 압박이나 자극을 피하는 것이 중요합니다.  감사합니다.
매독,안녕하세요. 메디이즈입니다.  말씀만으로는 정확한 답변을 드리기 어려우나  보통은 직접 접촉에 의해서 감염이 됩니다 하지만 본인도모르게 접촉이 되었을수도 있기 때문에 증상만으로진단은 어렵습니다 검사를 통해서 확인하시는 것이 최선입니다  답변이 되었는지 모르겠네요 더 궁금하신 것이 있으시면 질문주세요. 성심성의껏 답변드리겠습니다 감사합니다.
아침에 허리통증,안녕하세요. 메디이즈입니다.  근육의 경직으로 인한 증상으로 보입니다. 특정 질환과 연관해서는 강직성척추염이나 섬유근통의 가능성을 고려해야 하므로 류마티스 내과 전문의의 진료를 받아보는 것이 좋을 것 같습니다.
,안녕하세요. 메디이즈입니다.  요약 1. 대장암보다는 위장염이나 2. 감염 후에 생긴 과민성대장증후군에 준해 치료를 해야 할겁니다. 3. 전문약 복용하면서 식이 조절하면서 치료 경과롤 봐보세요 4. 대장암은 아래와 같은 증상이 생깁니다.  대장암의 주된 증상으로는  배변습관 변화갑자기 변을 보기 힘들어지거나변 보는 횟수가 변하는 등 설사 변비 또는 배변 후 후중기 혈변 점액변 예전보다 가늘어진 변 복부불편감복통 복부팽만 체중 근력의감소 피로감 식욕부진 소화불량 오심과 구토 복부 종물 등이 있습니다.  건승하세요
아침에 허리통증,안녕하세요. 메디이즈입니다.  근육의 경직으로 인한 증상으로 보입니다. 특정 질환과 연관해서는 강직성척추염이나 섬유근통의 가능성을 고려해야 하므로 류마티스 내과 전문의의 진료를 받아보는 것이 좋을 것 같습니다.
매독,안녕하세요. 메디이즈입니다.  말씀만으로는 정확한 답변을 드리기 어려우나  보통은 직접 접촉에 의해서 감염이 됩니다 하지만 본인도모르게 접촉이 되었을수도 있기 때문에 증상만으로진단은 어렵습니다 검사를 통해서 확인하시는 것이 최선입니다  답변이 되었는지 모르겠네요 더 궁금하신 것이 있으시면 질문주세요. 성심성의껏 답변드리겠습니다 감사합니다.
팔꿈치 힘줄 튕김,안녕하세요. 메디이즈입니다.  힘줄이 아니라 척골신경이 아닐까 생각이 됩니다.  우선은 본인의 병명이 어떤 것인지를 명확히 알고 상담을 하신다면 더 좋은 결과가 있을 듯 하니 방문하셨던 신경외과를 재방문 하시어 자세한 상담을 받아보시면 좋겠습니다.  감사합니다.
일주일 전 부터 생긴 손가락 통증,안녕하세요. 메디이즈입니다.  정전기 때문이라 단정하기는 어려울 것 같습니다.  다른 원인도 생각해봐야 하니 가까운 정형외과를 방문하시어 진찰을 받아보시는 것이 좋겠습니다.  감사합니다.
에이즈 검사 질문,안녕하세요. 메디이즈입니다.  말씀만으로는 정확한 답변을 드리기 어려우나  10주째 검사 받으시면 정확한 결과를 얻을 수 있습니다  답변이 되었는지 모르겠네요 더 궁금하신 것이 있으시면 질문주세요 성심성의껏 답변드리겠습니다  감사합니다.
임신 가능성 사핌약 복용 관련,안녕하세요. 메디이즈입니다. 가임기여부가 불확실하다면 가임기라고 생각하고 임신을 원하지 않는다면 사후 피임약을 3일이내 복용해야 합니다. 질외 사정을 했다고 하지만 사정전에 남성 성기에서 나오는 쿠퍼액에도 정자가 포함되어 있습니다. 이로인해 임신의 가능성이 있습니다. 사후 피임약을 복용해도 피임율이 100는 아니라서 2주후에도 생리를 하지 않는다면 임신테스트를 해보아야 합니다.
잠꼬대 치매 전조증상 범위,안녕하세요. 메디이즈입니다. 잠꼬대 및 수면 중 동반되는 움직임 연관되어서 치매가 우려되시는 것 같네요. 기재해주신 증상과 나이 등을 미루어서 판단해볼 때 치매를 우선적으로 의심할 만한 개연성은 높아보이지 않습니다. 치매를 우려하시는 또 다른 이유 있으신지도 들어볼 필요가 있어 보입니다. 수면의 질과 유지시간 등에 대한 우선적인 평가가 필요해 보이고 하지불안증후군과 주기성 운동장애 등 수면운동장애 등을 진단하기 위해서 수면다원검사 등이 도움되리라 생각됩니다. 일상생활에서의 우울불안 평가 기타 스트레스 상황 기저의 성격 및 성향 등 종합적인 평가도 도움되리라 생각됩니다. 빠른 쾌유바랍니다. 문의주셔서 감사합니다.
뇌졸증이나 뇌경색일까 우려됩니다.,안녕하세요. 메디이즈입니다. 여러가지 신체증상과 함께 심리적 불안감도 지속되시는 상황이시군요. 신체증상들에 대해 우선적인 검사와 진료들이 필요하시겠지만 아마도 여러 해당과들의 검사와 진료들은 이미 받으셨으리라 생각됩니다. 그럼에도 불구하도 검사에서 보여지는 소견 이상으로 불안감과 신체증상이 지속된다면 심리적인 영향도 상당 부분 고려해볼 수 있겠습니다. 또한 응급실 방문할 정도의 두드러진 불안상황에서 CT나 MRI 및 기타검사에서도 별다른 소견이 발견되지 않으셨고 공황증상에 대한 치료 후 다소 호전양상이 있으셨고 현재 공황치료를 받지 않는 상황에서 다시 악화되는 불안증상이 있으시다면 다시 한번 정신과적 평가 및 진료를 받아보시는 것이 도움되시리라 생각됩니다. 현재 스트레스 상황들에 대한 객관적. 주관적 평가와 함께. 스트레스 관리방법 기저 성격 및 성향들에 대한 종합적인 평가도 도움되시리라 생각됩니다. 빠른 쾌유바랍니다. 문의주셔서 감사합니다.
알 수 없는 증상때문에 답답합니다.,안녕하세요. 메디이즈입니다. 정신과치료를 받고 계심에도 불구하고 여러가지 불편감이 지속되시나보네요. 알콜이나 기타 물질사용 없이도 기억이 끊기며 두통이 지속되는 등의 증상이 있다면 CT나 MRI등의 뇌영상검사 및 뇌파검사 등의 검사도 우선적으로 진행하시는 것이 좋을 듯합니다. 또한 정동기복과 함께 동반된 환청 및 충동조절 상의 어려움 등의 증상이 지속된다면 양극성 정동장애 등에 대한 치료와 함께 추후 증상 호전 후 기타 ADHD 성향 등에 대한 평가도 고려해볼 수 있겠습니다. 빠른 쾌유바랍니다. 문의주셔서 감사합니다.
ssri증량 적응기,안녕하세요. 메디이즈입니다. SSRI 계통의 약물을 복용하고 계시는군요. 뉴람 5mg을 5주가량 복용하시고 10mg으로 증량하셨다면 통상적인 조절범주에 해당된다고 보여지지만 때로는 10mg에서도 용량변경 후 초기에 부작용으로 인해 불편하시는 경우도 있을 수 있습니다. 12주일 가량 10mg으로 더 복용해보시고 불편감 지속 시 다시 5mg이나 7.5mg으로 용량 감량하여 경과보시다가 다시 용량증량하시는 것도 가능하리라 보여집니다. 빠른 쾌유바랍니다. 문의주셔서 감사합니다.
크라운 치아 뿌리 염증 질문드립니다,안녕하세요. 메디이즈입니다.  옛날에 치아에 포스트를 세우고 크라운을 씌운 치아가 크라운 씌운지 오래돼서 교체를 하였습니다 지르코니아로 포스트 기둥은 그대로 두고 크라운만 교체를 하였는데 크라운 교체할 때 망치 같은 걸로 뽑고 교체 르루 했는데 그 이후부터 잇몸이랑 주변 부위에 통증이 너무 심합니다 그래서 치과를 방문하니 치아 뿌리 쪽에 염증이 생겼다고 했는데 교체하기가 충격으로 인해 생긴 건가요? 그래서 어떻게 해야 하나 여쭤보니 여기서 손을 더 대면 임플란트를 할 수 있으니 그대로 두 자고 하시더라고요 근데 제가 치아 뿌리 염증에 대해서 찾아보니 치근 단 절제술도 있고 잇몸을 열어서 염증을 긁어내는 치료방법도 있던데 왜 안 해주시고 그냥 쓰라고 하시는 건지 궁급합니다 그리고 무조건 임플란트밖에 방법이 없다고 하셔서 정말 그런 건가요 그대로 두고 더 써보자고 하시는데 점점 염증도 커지고 나중에는 더 심해져서 위에 치근단 치료 같은 것도 못 받는 게 아닌지 궁급합니다 통증도 점점 심해지고 주변 치아까지 망가지는 게 아닌지 걱정됩니다 어떤 치료를 받아야 할까요 사진 첨부합니다  대학병원 치과보존과에 한번 가셔서 검사를 받아보세요.  진단을 하는 치과의사 마다 보는 관점과 역량이 다를 수 있습니다.  잘 치료 되실 수 있음 좋겠습니다.
치루절개술 ,안녕하세요. 메디이즈입니다. 진료를 직접했던 의사가 이상이 없다고 했는데 진료를 보지도 않고서 의견을 드리는 것은 적절치 않다고 생각합니다. 만약 문제가 된다면 다른 의사에게 직접 진료를 받아 보시길 권유드립니다. 그렇지 않다면 진료 했던 의사의 소견을 믿고 며칠 경과를 지켜 보시다가 점차 심해지는 듯 하면 다시 진료를 받아 보시길 권유드립니다. 감사합니다.
항문 국소마취 항문샘,안녕하세요. 메디이즈입니다. 주사기로 인하여 항문샘에 손상이 될 가능성은 거의 없습니다. 항문샘 손상 여부는 물리적으로 확인 할 수 있는 특별한 방법이 있지도 않습니다. 감사합니다.
항문 주변 빨간원형,안녕하세요. 메디이즈입니다. 후닐의 일반적인 부작은 아니지만 약을 드신 후에 발생되는 것이라면 약이 원인일 수 있습니다. 약이 원인이라면 약 중단 후 증상이 좋아지게 되지만 다른 원인이라면 좋아지지 않을 것입니다. 그렇다면 진료를 받아 보시고 원인을 찾아 보시기 바랍니다. 감사합니다.
아기 감기약 관련 복약상담부탁드려요,안녕하세요. 메디이즈입니다.  우선 진료후 기침의 원인을 알아야 답이 가능한 부분입니다 알러지에 의한 기침인지? 인후염등 상기도 감염에 대한 기침인지? 천식이나 기관지폐렴에 의한 것인지?  그 진단에 따라 약복용이 달라질 부분이라 일괄 답변은 어려우나 헤스를 복용한다면 2.5cc전후를 하루 34회주면 될 것입니다
뱃속에서 콩닥콩닥,안녕하세요. 메디이즈입니다.  배를 꾹 누르면 콩닥콩닥 하는 소리는 심장 박동이 아니라 장기의 움직임입니다. 장기는 끊임없이 움직이면서 소화 배설 호흡 등 다양한 활동을 합니다. 따라서 배를 누르면 장기의 움직임이 느껴질 수 있습니다. 이는 정상적인 현상이므로 걱정하지 않으셔도 됩니다.
빵을 자르다가 베였는데 파상풍 위험이 있을까요?,안녕하세요. 메디이즈입니다. 상처가 얕아서 파상풍 감염의 위험을 걱정하지는 않아도 괜찮습니다. 또한 가정에서 일상적으로 사용되는 식기에서는 파상풍 균이 존재하기가 어려우니 너무 염려하지 마세요. 추가로 파상풍 균은 포유류의 장에 서식하므로 야외에서 발생한 지저분한 상처에 감염될 위험이 존재합니다. 접종은 10년간 유효하니 추후 10년이 되는 해에 추가접종을 받으시기를 권해드립니다.
공복에 약을 먹어도 되는지 궁금해요,안녕하세요. 메디이즈입니다.  베탄정과 헤에프정은 공복에 복용하면 위장 장애가 발생할 가능성이 높으므로 식후 30분 정도 복용하는 것을 권장합니다.
음경이 간지러워요..,안녕하세요. 메디이즈입니다.  성관계 후 음경이 간지러운 증상은 포경수술을 하지 않은 경우 귀두가 덮여 있는 부분이 간지러운 포경낭염일 가능성이 있습니다. 포경낭염은 귀두를 덮고 있는 포피가 염증을 일으키는 질환으로 성관계 후 면역력이 떨어지면서 발생할 수 있습니다. 포경낭염은 항생제 처방으로 치료할 수 있으며 성관계 후에는 깨끗한 물로 음경을 씻어주는 것이 좋습니다. 성병 검사를 받아야 하는지는 병원에 방문하여 진료를 받아보셔야 합니다.
